id,topic,question
1,Adoption,How is adoption viewed in your country?
2,Adoption,Do you know anyone who was adopted? Can you think of any famous people who were adopted?
3,Adoption,How does being adopted affect a child’s view of themselves?
4,Adoption,What are some of the reasons people adopt children?
5,Adoption,What are some of the reasons people give children up for adoption?
6,Adoption,What do you think about the adoption system in your country?
7,Adoption,What do you think about couples that adopt children from different countries?
8,Adoption,What qualities make a couple or a person qualified to adopt a child?
9,Adoption,Should the adoption process be more or less difficult than it is now?
10,Adoption,"Should people be able to decide what type of children they want to adopt? For example: boy or girl, hair color, age, etc."
11,Adoption,How much should the government be involved in the adoption process?
12,Adoption,What are orphanages like in your country?
13,Adoption,Would you ever adopt a child?
14,Adoption,What is the maximum number of children a couple should be able to adopt?
15,Adoption,What celebrities do you know of who adopted a child?
16,Adoption,What are some ways that adoption rates could be improved?
